src_id,direction,geom_points,os_speed
osgb4000000025444291,1,"((-3.4409705624237512, 50.77529403005618), (-3.4409734095588216, 50.774925275599081))",37.5
osgb4000000025444291,-1,"((-3.4412205549724488, 50.775295960236384), (-3.4412234021075192, 50.774927205779285))",37.5
osgb4000000025306484,1,"((-3.440668411813617, 50.779762309241768), (-3.4407076414627871, 50.779551735612564))",37.5
osgb4000000025306484,-1,"((-3.4409141831614556, 50.779808096189491), (-3.4409534128106256, 50.779597522560287))",37.5
osgb4000000025336916,-1,"((-3.4420138988555333, 50.782180049157098), (-3.4420105799086231, 50.782072172478394))",37.5
osgb4000000025336916,1,"((-3.4417640170908754, 50.782187737049611), (-3.4417606981439652, 50.782079860370906))",37.5
osgb4000000025306483,-1,"((-3.4418426832707261, 50.781464102874466), (-3.4413862466488361, 50.780921163770763))",37.5
osgb4000000025306483,1,"((-3.4416513209091102, 50.781624976882803), (-3.4411948842872202, 50.7810820377791))",37.5
osgb4000000025392841,-1,"((-3.441717418903782, 50.784191116672993), (-3.4416969381617721, 50.784148814335992))",37.5
osgb4000000025392841,1,"((-3.4414924038504018, 50.78430005805977), (-3.4414719231083919, 50.78425775572277))",37.5
osgb4000000020925851,-1,"((-3.4419851564502535, 50.792126942601641), (-3.4420507659709734, 50.79181308952414))",37.5
osgb4000000020925851,1,"((-3.4417404461909693, 50.792075787064292), (-3.4418060557116892, 50.791761933986791))",37.5
osgb4000000025288112,1,"((-3.4433081656478879, 50.787819234138958), (-3.4435674249349177, 50.787024628606858))",37.5
osgb4000000025288112,-1,"((-3.4435458349873249, 50.78789677951336), (-3.4438050942743548, 50.78710217398126))",37.5
osgb4000000025295671,1,"((-3.4410916582931512, 50.777740357049048), (-3.4409299732635414, 50.77709484863535))",37.5
osgb4000000025295671,-1,"((-3.4413341666740989, 50.777679614270298), (-3.4411724816444891, 50.7770341058566))",37.5
osgb4000000025933452,1,"((-3.3865274795866194, 50.626247835323696), (-3.3856353700227593, 50.626681137331694))",37.5
osgb4000000025933452,-1,"((-3.3864182552993038, 50.626022957456705), (-3.3855261457354437, 50.626456259464703))",37.5
osgb4000000025943732,-1,"((-3.410156958963158, 50.616696491592059), (-3.409969768991858, 50.616581844092558))",37.5
osgb4000000025943732,1,"((-3.4100263862090632, 50.616909683420907), (-3.4098391962377632, 50.616795035921406))",37.5
osgb4000000025933258,1,"((-3.4096876396458504, 50.616717752308737), (-3.4093727413250905, 50.616586663026439))",37.5
osgb4000000025933258,-1,"((-3.4097837195751497, 50.616486952293172), (-3.4094688212543898, 50.616355863010874))",37.5
osgb4000000025938524,-1,"((-3.4085890124305402, 50.616149990766353), (-3.4085297376685504, 50.616124734786055))",37.5
osgb4000000025938524,1,"((-3.4084910162975142, 50.616379983718225), (-3.4084317415355243, 50.616354727737928))",37.5
osgb4000000025933259,-1,"((-3.4074705703486541, 50.61572641286164), (-3.4071226844651741, 50.615910483707239))",37.5
osgb4000000025933259,1,"((-3.4075874906605685, 50.615947387160283), (-3.4072396047770885, 50.616131458005881))",37.5
osgb4000000025946922,1,"((-3.4064534271922957, 50.616587438009795), (-3.4063283997972458, 50.616660894521893))",37.5
osgb4000000025946922,-1,"((-3.4063267861909194, 50.616371887419973), (-3.4062017587958695, 50.616445343932071))",37.5
osgb4000000025938547,1,"((-3.4123254756588963, 50.618844561518664), (-3.4117736911464762, 50.618356616898666))",37.5
